author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283184348/;Москва;sale;flat;2;17;1;40.2;225124;9050000;;;Коммунарка;
ID 24756;realtor;https://www.cian.ru/sale/flat/283588679/;Москва;sale;flat;12;12;1;39.0;233333;9100000;Косино-Ухтомский;Святоозерская;Лухмановская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/282206823/;Москва;sale;flat;1;16;1;46.6;199570;9300000;Чертаново Южное;Варшавское шоссе;Аннино;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/282827240/;Москва;sale;flat;2;14;1;38.5;244155;9400000;Ново-Переделкино;Шолохова;Новопеределкино;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283742491/;Москва;sale;flat;9;16;1;40.7;230958;9400000;;;Щербинка;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284728897/;Москва;sale;flat;4;17;1;38.6;243523;9400000;;;Коммунарка;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283113540/;Москва;sale;flat;2;2;1;40.0;237500;9500000;Даниловский;Автозаводская;ЗИЛ;Галерея ЗИЛ
Навигатор;real_estate_agent;https://www.cian.ru/sale/flat/285034705/;Москва;sale;flat;10;16;1;38.0;250000;9500000;Северное Медведково;Широкая;Медведково;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283446331/;Москва;sale;flat;9;16;1;34.7;273775;9500000;Гольяново;Камчатская;Щелковская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284124481/;Москва;sale;flat;7;9;1;33.0;290909;9600000;Богородское;Погонный проезд;Бульвар Рокоссовского;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/284187865/;Москва;sale;flat;8;12;1;35.5;271830;9650000;Северное Медведково;Заревый проезд;Медведково;
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/283553205/;Москва;sale;flat;11;25;1;33.4;290419;9700000;Кунцево;к3/4;Строгино;Мякинино Парк ЖК
Владис;real_estate_agent;https://www.cian.ru/sale/flat/284337877/;Москва;sale;flat;5;9;1;34.8;281609;9800000;Бутырский;Руставели;Бутырская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/284351066/;Москва;sale;flat;5;5;1;30.5;321311;9800000;Фили-Давыдково;Кутузовский проспект;Кунцевская;
МСК Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284644095/;Москва;sale;flat;3;4;1;28.7;341114;9790000;Басманный;Радио;Бауманская;
ID 3701566;realtor;https://www.cian.ru/sale/flat/285069403/;Москва;sale;flat;15;17;1;41.7;238609;9950000;;;Коммунарка;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/282821911/;Москва;sale;flat;2;17;1;37.4;270026;10099000;Ново-Переделкино;Боровское шоссе;Боровское шоссе;
